;1;0
;1;0
;5;0
;6;0
;18;1
;47;1
;98;2
;191;3
;359;4
;670;9
;947;21
;1236;30
;1529;37
;1872;44
;2433;59
;3629;75
;5698;92
;7402;108
;9217;131
;10827;168
;13531;214
;15679;277
;18135;356
;20921;425
;23934;501
;27069;574
;30217;649
;34109;725
;38226;812
;42282;908
;47029;1006
;52167;1101
;56956;1198
;61049;1296
;65111;1403
;69392;1518
;74193;1643
;78546;1769
;82329;1890
